barcode,collNo_Text,collector_Text,collrTeam_Text,county,family,genus,herbariumCode,herbariumDetailsUrl,collectionID,infraspecies,infraspecies_Author1_Text,infraspecies_Author2_Text,photoExists,plantID,rank,species,species_Author1_Text,species_Author2_Text,Collection Date,Locality,DetDate_Text,Habitat,RepState1,RepState2,RepState3,RepState4,Type,PlDescr,Frequency,elevL,ElevH,ElevUnits,Endangered,Named_Place,LongDecL,LatDecL
299451,s.n.,C. Werner,,Hernando Co.,Poaceae,Aristida,null,null,226976,virgata,Trin.,Allred,TRUE,3052,var.,purpurascens,Poir.,null,09/18/2018,"Croom Tract; W side of marsh, ca. 0.15 mi. S of State Forest Road 8.",null,Edge of basin marsh adjacent to sandhill.,Fertile,null,null,null,null,null,null,null,null,null,FALSE,Withlacoochee State Forest,-82.227588,28.587772
247500,2553,J. M. Kunzer,"G. Dauphin, C. Eckert",Polk Co.,Poaceae,Aristida,null,null,46668,virgata,Trin.,Allred,TRUE,3052,var.,purpurascens,Poir.,null,09/26/2008,"Ca. 2.5 km SSE of FL 471 bridge over the Withlacoochee River, ca. 5.1 km NNE of the junction of FL 471 and US 98.",null,Mesic flatwoods.,Fertile,null,null,null,null,null,null,null,null,null,FALSE,Colt Creek State Park,-82.04388889,28.29388889
228019,19733,S. L. Orzell,E.L. Bridges,Citrus Co.,Poaceae,Aristida,null,null,47576,null,null,null,TRUE,698,null,stricta,Michx.,null,06/29/1992,"Just E of section line road, ca. 1.4 mi. W of Fivemile Pond, ca. 3.5 air mi. S of FL 44, ca. 10 air mi. E of Homosassa Springs.  T19S, R19E, Sec. 27, SW¼.",23-Oct-2015,Mature burned longleaf pine [Pinus palustris] sandhill.  Soils - Lakeland (Typic Quartzipsamments).,Fertile,null,null,null,null,null,null,100,130,ft,FALSE,Withlacoochee State Forest,-82.4025,28.80472222
227195,2347,M. T. Strong,,Sumter Co.,Asteraceae,Arnoglossum,null,null,32512,null,null,null,TRUE,2312,null,floridanum,A. Gray,H. Rob.,22-23 May 2000,"NW side of FL 44, 1.6 km W of its junction with FL 475, ca. 9 km ENE of the Withlacoochee River (where FL 44 crosses it) and 9.6 km W of Wildwood.",null,Longleaf pine [Pinus palustris] - turkey oak [Quercus laevis] sandhills.,Flower,null,null,null,null,null,null,null,null,null,FALSE,null,-82.038974,28.865264
105111,1873,P. Genelle,G. Fleming,Citrus Co.,Asteraceae,Arnoglossum,null,null,32417,null,null,null,TRUE,2312,null,floridanum,A. Gray,H. Rob.,05/27/1973,"Citrus Section, TR 20.",Jun 1978,"Sandy open area, with pine and oak.",Flower,null,null,null,null,null,null,null,null,null,FALSE,Withlacoochee State Forest,-82.45,28.8667
229587,19750,S. L. Orzell,E.L. Bridges,Citrus Co.,Asteraceae,Arnoglossum,null,null,32413,null,null,null,TRUE,2312,null,floridanum,A. Gray,H. Rob.,06/29/1992,"Just E of section line road, ca. 1.4 mi. S of Fivemile Pond, ca. 3.5 air mi. S of FL 44, ca. 10 air mi. E of Homosassa Springs.  T19S, R19E, Sec. 27, SW¼.",null,Mature burned longleaf pine [Pinus palustris] sandhill savanna.  Soils - Lakeland (Typic Quartzipsamments).,Flower,Fruit,null,null,null,null,null,100,130,ft,FALSE,Withlacoochee State Forest,-82.4025,28.80472222
229607,20065,S. L. Orzell,E.L. Bridges,Hamilton Co.,Asteraceae,Arnoglossum,null,null,32509,null,null,null,TRUE,2312,null,floridanum,A. Gray,H. Rob.,07/07/1992,"Ca. 0.8 mi. N of FL 6 at a point ca. 0.5 mi. E of its junction with FL 143 at Blue Springs, ca. 2 mi. E of Withlacoochee River, ca. 7 air mi. SSW of Jennings; Blue Springs Longleaf.  T1N, R11E, Sec. 10, SW¼.",null,Typic dry upland burned longleaf pine [Pinus palustris] savanna.,Flower,null,null,null,null,null,null,89,90,ft,FALSE,null,-83.2125,30.49722222
232063,2685,M. T. Strong,,Polk Co.,Asteraceae,Arnoglossum,null,null,32540,null,null,null,TRUE,3089,null,ovatum,Walter,H. Rob.,05/10/2001,"3 side of FL 471, 2.7 km S of Withlacoochee River (tri-county lline of Sumter, Polk, and Pasoc Counties), ca. 11 km W of Rock Ridge.",null,Meadow.,Bud,null,null,null,null,null,null,null,null,null,FALSE,null,-81.8167,28.35
214274,s.n.,C. Strohmenger,,Pasco Co.,Apocynaceae,Asclepias,null,null,92132,null,null,null,TRUE,11,null,feayi,Chapm. ex A. Gray,null,07/08/1995,"Green Swamp West; 0.8 mi. W of FL 471 on McNeill Road, then 0.2 mi. N; ca. 0.5 mi. N of the Withlacoochee River; ca. 3.5 mi. N of Polk County line; ca. 4 mi. NNW of Branchborough. T25S, R22E, Sec. 13.",Jun 2018,null,Flower,null,null,null,null,null,null,null,null,null,FALSE,Southwest Florida Water Management District property,-82.089248,28.259176
105118,1880,P. Genelle,G. Fleming,Citrus Co.,Apocynaceae,Asclepias,null,null,92048,null,null,null,TRUE,3177,null,humistrata,Walter,null,05/27/1973,"Citrus area, TR 15.",null,"Pinelands, sand, dry.",Fruit,null,null,null,null,null,null,null,null,null,FALSE,Withlacoochee State Forest,-82.45,28.8667
