"","comb_sp.family","comb_sp.genus","comb_sp.species","epithet","coll_dates","year","month","WTL_sp.LatDecL","WTL_sp.LongDecL","WTL_sp.county"
"104842","Asteraceae","Smallanthus","uvedalia","Smallanthus uvedalia",1963-09-21,"1963","09","28.35","-81.8167","Sumter Co."
"55471","Smilacaceae","Smilax","auriculata","Smilax auriculata",2008-06-13,"2008","06","28.688879","-82.272868","Citrus Co."
"197806","Smilacaceae","Smilax","auriculata","Smilax auriculata",2008-04-15,"2008","04","28.35","-81.8167","Hernando Co."
"104637","Smilacaceae","Smilax","bona-nox","Smilax bona-nox",1962-06-19,"1962","06","28.35","-81.8167","Citrus Co."
"161168","Smilacaceae","Smilax","bona-nox","Smilax bona-nox",1963-06-03,"1963","06","null","null","Sumter Co."
"161616","Smilacaceae","Smilax","glauca","Smilax glauca",2008-06-13,"2008","06","null","null","Sumter Co."
"195891","Smilacaceae","Smilax","glauca","Smilax glauca",2008-09-26,"2008","09","null","null","Sumter Co."
"55972","Smilacaceae","Smilax","tamnoides","Smilax tamnoides",1960-04-21,"1960","04","null","null","Sumter Co."
"204623","Smilacaceae","Smilax","tamnoides","Smilax tamnoides",2008-04-15,"2008","04","28.6333","-82.25","Sumter Co."
"55405","Solanaceae","Solanum","capsicoides","Solanum capsicoides",1960-01-06,"1960","01","28.688879","-82.272868","Citrus Co."
"104628","Solanaceae","Solanum","capsicoides","Solanum capsicoides",1962-10-21,"1962","10","30.2333","-84.6667","Citrus Co."
"264083","Solanaceae","Solanum","capsicoides","Solanum capsicoides",1980-08-21,"1980","08","28.55","-82.05","Sumter Co."
"172104","Solanaceae","Solanum","viarum","Solanum viarum",2008-04-15,"2008","04","28.835818","-82.330372","Citrus Co."
"104840","Asteraceae","Solidago","canadensis","Solidago canadensis",2008-11-26,"2008","11","28.35","-81.8167","Sumter Co."
"227681","Asteraceae","Solidago","odora","Solidago odora",2008-09-26,"2008","09","28.45805556","-82.06111111","Pasco Co."
"105083","Asteraceae","Solidago","tortifolia","Solidago tortifolia",2008-09-19,"2008","09","28.5","-82.1","Hernando Co."
"122562","Asteraceae","Soliva","anthemifolia","Soliva anthemifolia",2008-04-03,"2008","04","28.35","-81.8167","Sumter Co."
"160753","Asteraceae","Sonchus","oleraceus","Sonchus oleraceus",1962-08-07,"1962","08","28.55","-82.05","Sumter Co."
"214546","Asteraceae","Sonchus","oleraceus","Sonchus oleraceus",2008-04-15,"2008","04","28.55","-82.05","Sumter Co."
"227236","Plantaginaceae","Sophronanthe","hispida","Sophronanthe hispida",1992-06-29,"1992","06","28.35","-81.8167","Hernando Co."
"27792","Plantaginaceae","Sophronanthe","pilosa","Sophronanthe pilosa",1992-06-29,"1992","06","28.35","-81.8167","Sumter Co."
"161169","Plantaginaceae","Sophronanthe","pilosa","Sophronanthe pilosa",1992-06-29,"1992","06","28.55","-82.05","Sumter Co."
"227304","Poaceae","Sorghastrum","secundum","Sorghastrum secundum",2008-09-26,"2008","09","28.35","-81.8167","Hernando Co."
"122561","Typhaceae","Sparganium","americanum","Sparganium americanum",1962-06-19,"1962","06","28.35","-81.8167","Sumter Co."
"210539","Orchidaceae","Spiranthes","lacera","Spiranthes lacera",1961-04-07,"1961","04","28.50638889","-82.13472222","Hernando Co."
"240529","Orchidaceae","Spiranthes","praecox","Spiranthes praecox",1961-04-07,"1961","04","28.45305556","-82.14583333","Pasco Co."
