"","comb_sp.family","comb_sp.genus","comb_sp.species","epithet","coll_dates","year","month","WTL_sp.LatDecL","WTL_sp.LongDecL","WTL_sp.county"
"208163",NA,NA,NA,"NA NA",NA,NA,NA,"null","null","Citrus Co."
"55475",NA,NA,NA,"NA NA",NA,NA,NA,"28.688879","-82.272868","Citrus Co."
"236981",NA,NA,NA,"NA NA",NA,NA,NA,"28.5833","-82.2167","Sumter Co."
"185038",NA,NA,NA,"NA NA",NA,NA,NA,"28.6833","-82.1833","Sumter Co."
"27754",NA,NA,NA,"NA NA",NA,NA,NA,"28.35","-81.8167","Sumter Co."
"105087",NA,NA,NA,"NA NA",NA,NA,NA,"28.35","-81.8167","Hernando Co."
"122544",NA,NA,NA,"NA NA",NA,NA,NA,"28.35","-81.8167","Sumter Co."
"105102",NA,NA,NA,"NA NA",NA,NA,NA,"28.5","-82.1","Hernando Co."
"171762",NA,NA,NA,"NA NA",NA,NA,NA,"28.35","-81.8167","Citrus Co."
"105092",NA,NA,NA,"NA NA",NA,NA,NA,"28.35","-81.8167","Hernando Co."
"216743",NA,NA,NA,"NA NA",NA,NA,NA,"28.35","-81.8167","Hernando Co."
"55474",NA,NA,NA,"NA NA",NA,NA,NA,"28.6833","-82.2667","Citrus Co."
"104725",NA,NA,NA,"NA NA",NA,NA,NA,"28.587772","-82.227588","Hernando Co."
"154602",NA,NA,NA,"NA NA",NA,NA,NA,"28.35","-81.8167","Sumter Co."
"17349",NA,NA,NA,"NA NA",NA,NA,NA,"28.35","-81.8167","Hernando Co."
"228524",NA,NA,NA,"NA NA",NA,NA,NA,"28.35","-81.8167","Sumter Co."
"55507",NA,NA,NA,"NA NA",NA,NA,NA,"28.35","-81.8167","Citrus Co."
"104758",NA,NA,NA,"NA NA",NA,NA,NA,"28.35","-81.8167","Hernando Co."
"104821",NA,NA,NA,"NA NA",NA,NA,NA,"28.5","-82.1","Hernando Co."
"292383",NA,NA,NA,"NA NA",NA,NA,NA,"28.465832","-82.172029","Pasco Co."
"27392",NA,NA,NA,"NA NA",NA,NA,NA,"28.35","-81.8167","Sumter Co."
"3620",NA,NA,NA,"NA NA",NA,NA,NA,"28.35","-81.8167","Sumter Co."
"300109",NA,NA,NA,"NA NA",NA,NA,NA,"28.35","-81.8167","Sumter Co."
"55404",NA,NA,NA,"NA NA",NA,NA,NA,"28.6833","-82.2667","Citrus Co."
"104828",NA,NA,NA,"NA NA",NA,NA,NA,"28.35","-81.8167","Sumter Co."
"55423",NA,NA,NA,"NA NA",NA,NA,NA,"28.6833","-82.2667","Citrus Co."
"214504",NA,NA,NA,"NA NA",NA,NA,NA,"28.45833333","-82.03611111","Sumter Co."
"55269",NA,NA,NA,"NA NA",NA,NA,NA,"28.6833","-82.2667","Citrus Co."
"55270",NA,NA,NA,"NA NA",NA,NA,NA,"28.688879","-82.272868","Citrus Co."
"189174",NA,NA,NA,"NA NA",NA,NA,NA,"28.587772","-82.227588","Hernando Co."
"27817",NA,NA,NA,"NA NA",NA,NA,NA,"28.35","-81.8167","Sumter Co."
"104819",NA,NA,NA,"NA NA",NA,NA,NA,"28.5","-82.1","Hernando Co."
"221088",NA,NA,NA,"NA NA",NA,NA,NA,"28.8667","-82.45","Citrus Co."
"234784",NA,NA,NA,"NA NA",NA,NA,NA,"28.587772","-82.227588","Hernando Co."
"227239",NA,NA,NA,"NA NA",NA,NA,NA,"28.865264","-82.038974","Sumter Co."
"227077",NA,NA,NA,"NA NA",NA,NA,NA,"28.80472222","-82.4025","Citrus Co."
"208187",NA,NA,NA,"NA NA",NA,NA,NA,"28.835818","-82.330372","Citrus Co."
"226184",NA,NA,NA,"NA NA",NA,NA,NA,"28.45833333","-82.03611111","Sumter Co."
"228858",NA,NA,NA,"NA NA",NA,NA,NA,"28.80472222","-82.4025","Citrus Co."
"43151",NA,NA,NA,"NA NA",NA,NA,NA,"28.35","-81.8167","Hernando Co."
"234034",NA,NA,NA,"NA NA",NA,NA,NA,"28.45833333","-82.03611111","Sumter Co."
"242344",NA,NA,NA,"NA NA",NA,NA,NA,"28.664992","-82.112863","Sumter Co."
"204576",NA,NA,NA,"NA NA",NA,NA,NA,"28.6333","-82.25","Sumter Co."
"153770",NA,NA,NA,"NA NA",NA,NA,NA,"28.35","-81.8167","Lake Co."
"226406",NA,NA,NA,"NA NA",NA,NA,NA,"28.45833333","-82.03611111","Sumter Co."
"242384",NA,NA,NA,"NA NA",NA,NA,NA,"28.664992","-82.112863","Sumter Co."
"229353",NA,NA,NA,"NA NA",NA,NA,NA,"28.80472222","-82.4025","Citrus Co."
"259029",NA,NA,NA,"NA NA",NA,NA,NA,"28.66444444","-82.45388889","Hernando Co."
"189172",NA,NA,NA,"NA NA",NA,NA,NA,"28.587772","-82.227588","Hernando Co."
"120547",NA,NA,NA,"NA NA",NA,NA,NA,"28.35","-81.8167","Sumter Co."
"105100",NA,NA,NA,"NA NA",NA,NA,NA,"28.5","-82.1","Hernando Co."
"122557",NA,NA,NA,"NA NA",NA,NA,NA,"28.35","-81.8167","Sumter Co."
"241066",NA,NA,NA,"NA NA",NA,NA,NA,"28.45833333","-82.03611111","Sumter Co."
"27768",NA,NA,NA,"NA NA",NA,NA,NA,"28.35","-81.8167","Sumter Co."
"104835",NA,NA,NA,"NA NA",NA,NA,NA,"28.35","-81.8167","Sumter Co."
"122556",NA,NA,NA,"NA NA",NA,NA,NA,"28.35","-81.8167","Sumter Co."
"27398",NA,NA,NA,"NA NA",NA,NA,NA,"28.35","-81.8167","Sumter Co."
"122555",NA,NA,NA,"NA NA",NA,NA,NA,"28.35","-81.8167","Sumter Co."
"214441",NA,NA,NA,"NA NA",NA,NA,NA,"28.45833333","-82.03611111","Sumter Co."
"105082",NA,NA,NA,"NA NA",NA,NA,NA,"28.5","-82.1","Hernando Co."
"241044",NA,NA,NA,"NA NA",NA,NA,NA,"28.45833333","-82.03611111","Sumter Co."
"120618",NA,NA,NA,"NA NA",NA,NA,NA,"28.35","-81.8167","Citrus Co."
"161165",NA,NA,NA,"NA NA",NA,NA,NA,"28.55","-82.05","Sumter Co."
"120687",NA,NA,NA,"NA NA",NA,NA,NA,"28.35","-81.8167","Citrus Co."
"120892",NA,NA,NA,"NA NA",NA,NA,NA,"28.465832","-82.172029","Pasco Co."
"241931",NA,NA,NA,"NA NA",NA,NA,NA,"28.5833","-82.2167","Sumter Co."
"214547",NA,NA,NA,"NA NA",NA,NA,NA,"28.55","-82.05","Sumter Co."
"48083",NA,NA,NA,"NA NA",NA,NA,NA,"28.6833","-82.2667","Citrus Co."
"27745",NA,NA,NA,"NA NA",NA,NA,NA,"28.35","-81.8167","Sumter Co."
"27746",NA,NA,NA,"NA NA",NA,NA,NA,"28.35","-81.8167","Sumter Co."
"161621",NA,NA,NA,"NA NA",NA,NA,NA,"28.554997","-82.054526","Sumter Co."
"120983",NA,NA,NA,"NA NA",NA,NA,NA,"28.465832","-82.172029","Pasco Co."
"208244",NA,NA,NA,"NA NA",NA,NA,NA,"28.5833","-82.2167","Sumter Co."
"208230",NA,NA,NA,"NA NA",NA,NA,NA,"28.35","-81.8167","Citrus Co."
"105168",NA,NA,NA,"NA NA",NA,NA,NA,"28.8667","-82.45","Citrus Co."
"144335",NA,NA,NA,"NA NA",NA,NA,NA,"28.35","-81.8167","Hernando Co."
"27815",NA,NA,NA,"NA NA",NA,NA,NA,"28.35","-81.8167","Sumter Co."
"46352",NA,NA,NA,"NA NA",NA,NA,NA,"28.659991","-82.27759","Hernando Co."
"2471",NA,NA,NA,"NA NA",NA,NA,NA,"28.35","-81.8167","Sumter Co."
"14151",NA,NA,NA,"NA NA",NA,NA,NA,"28.664992","-82.112863","Sumter Co."
"55422",NA,NA,NA,"NA NA",NA,NA,NA,"28.688879","-82.272868","Citrus Co."
"185044",NA,NA,NA,"NA NA",NA,NA,NA,"28.6833","-82.1833","Sumter Co."
"55431",NA,NA,NA,"NA NA",NA,NA,NA,"28.688879","-82.272868","Citrus Co."
"104836",NA,NA,NA,"NA NA",NA,NA,NA,"28.35","-81.8167","Sumter Co."
"56012",NA,NA,NA,"NA NA",NA,NA,NA,"28.35","-81.8167","Sumter Co."
"27759",NA,NA,NA,"NA NA",NA,NA,NA,"28.35","-81.8167","Sumter Co."
"55469",NA,NA,NA,"NA NA",NA,NA,NA,"28.688879","-82.272868","Citrus Co."
"104760",NA,NA,NA,"NA NA",NA,NA,NA,"28.35","-81.8167","Hernando Co."
"120707",NA,NA,NA,"NA NA",NA,NA,NA,"28.4667","-82.0667","Pasco Co."
"204252",NA,NA,NA,"NA NA",NA,NA,NA,"28.6333","-82.25","Sumter Co."
"35403",NA,NA,NA,"NA NA",NA,NA,NA,"28.659991","-82.27759","Hernando Co."
"19826",NA,NA,NA,"NA NA",NA,NA,NA,"28.659991","-82.27759","Hernando Co."
"256068",NA,NA,NA,"NA NA",NA,NA,NA,"28.659991","-82.27759","Hernando Co."
"48085",NA,NA,NA,"NA NA",NA,NA,NA,"28.6833","-82.2667","Citrus Co."
"305097",NA,NA,NA,"NA NA",NA,NA,NA,"null","null","Sumter Co."
"209391",NA,NA,NA,"NA NA",NA,NA,NA,"28.35","-81.8167","Citrus Co."
"120509",NA,NA,NA,"NA NA",NA,NA,NA,"28.35","-81.8167","Sumter Co."
"303788",NA,NA,NA,"NA NA",NA,NA,NA,"null","null","Pasco Co."
"172105",NA,NA,NA,"NA NA",NA,NA,NA,"null","null","Citrus Co."
"104796",NA,NA,NA,"NA NA",NA,NA,NA,"null","null","Hernando Co."
"240424",NA,NA,NA,"NA NA",NA,NA,NA,"28.45305556","-82.14583333","Pasco Co."
"239372",NA,NA,NA,"NA NA",NA,NA,NA,"28.45833333","-82.03611111","Sumter Co."
"239354",NA,NA,NA,"NA NA",NA,NA,NA,"28.45805556","-82.06111111","Pasco Co."
"104646",NA,NA,NA,"NA NA",NA,NA,NA,"28.35","-81.8167","Citrus Co."
"208200",NA,NA,NA,"NA NA",NA,NA,NA,"28.8667","-82.45","Citrus Co."
"27766",NA,NA,NA,"NA NA",NA,NA,NA,"28.35","-81.8167","Sumter Co."
"227992",NA,NA,NA,"NA NA",NA,NA,NA,"null","null","Sumter Co."
"108170",NA,NA,NA,"NA NA",NA,NA,NA,"28.5","-82.1","Hernando Co."
"27773",NA,NA,NA,"NA NA",NA,NA,NA,"28.35","-81.8167","Sumter Co."
"306728",NA,NA,NA,"NA NA",NA,NA,NA,"null","null","Citrus Co."
"208162",NA,NA,NA,"NA NA",NA,NA,NA,"null","null","Citrus Co."
"197897",NA,NA,NA,"NA NA",NA,NA,NA,"null","null","Hernando Co."
"227056",NA,NA,NA,"NA NA",NA,NA,NA,"null","null","Citrus Co."
"202258",NA,NA,NA,"NA NA",NA,NA,NA,"null","null","Hernando Co."
"55506",NA,NA,NA,"NA NA",NA,NA,NA,"28.35","-81.8167","Citrus Co."
"161068",NA,NA,NA,"NA NA",NA,NA,NA,"28.55","-82.05","Sumter Co."
"189421",NA,NA,NA,"NA NA",NA,NA,NA,"28.8667","-82.45","Citrus Co."
"227238",NA,NA,NA,"NA NA",NA,NA,NA,"28.865264","-82.038974","Sumter Co."
"185034",NA,NA,NA,"NA NA",NA,NA,NA,"28.733383","-82.225673","Sumter Co."
"227202",NA,NA,NA,"NA NA",NA,NA,NA,"28.5333","-82.45","Hernando Co."
"105127",NA,NA,NA,"NA NA",NA,NA,NA,"28.8667","-82.45","Citrus Co."
"229055",NA,NA,NA,"NA NA",NA,NA,NA,"28.80472222","-82.4025","Citrus Co."
"227416",NA,NA,NA,"NA NA",NA,NA,NA,"28.45305556","-82.14583333","Pasco Co."
"227240",NA,NA,NA,"NA NA",NA,NA,NA,"28.865264","-82.038974","Sumter Co."
"105117",NA,NA,NA,"NA NA",NA,NA,NA,"28.8667","-82.45","Citrus Co."
"239079",NA,NA,NA,"NA NA",NA,NA,NA,"28.80472222","-82.4025","Citrus Co."
"305955",NA,NA,NA,"NA NA",NA,NA,NA,"null","null","Pasco Co."
"258606",NA,NA,NA,"NA NA",NA,NA,NA,"28.55","-82.05","Sumter Co."
"161058",NA,NA,NA,"NA NA",NA,NA,NA,"28.55","-82.05","Sumter Co."
"262646",NA,NA,NA,"NA NA",NA,NA,NA,"28.465832","-82.172029","Pasco Co."
"48084",NA,NA,NA,"NA NA",NA,NA,NA,"28.688879","-82.272868","Citrus Co."
"55808",NA,NA,NA,"NA NA",NA,NA,NA,"28.688879","-82.272868","Citrus Co."
"162103",NA,NA,NA,"NA NA",NA,NA,NA,"28.35","-82.0333","Sumter Co."
"108380",NA,NA,NA,"NA NA",NA,NA,NA,"28.5","-82.1","Hernando Co."
"141166",NA,NA,NA,"NA NA",NA,NA,NA,"28.465832","-82.172029","Pasco Co."
"241957",NA,NA,NA,"NA NA",NA,NA,NA,"28.5833","-82.2167","Sumter Co."
"253646",NA,NA,NA,"NA NA",NA,NA,NA,"28.72666667","-82.40194444","Citrus Co."
"162102",NA,NA,NA,"NA NA",NA,NA,NA,"28.35","-82.0333","Sumter Co."
"120841",NA,NA,NA,"NA NA",NA,NA,NA,"28.35","-81.8167","Citrus Co."
"264140",NA,NA,NA,"NA NA",NA,NA,NA,"28.85","-82.2","Sumter Co."
"263756",NA,NA,NA,"NA NA",NA,NA,NA,"28.35","-81.8167","Citrus Co."
"108378",NA,NA,NA,"NA NA",NA,NA,NA,"28.5","-82.1","Hernando Co."
"108377",NA,NA,NA,"NA NA",NA,NA,NA,"28.5","-82.1","Hernando Co."
"79781",NA,NA,NA,"NA NA",NA,NA,NA,"29.0167","-82.6667","Citrus Co."
"108381",NA,NA,NA,"NA NA",NA,NA,NA,"28.5","-82.1","Hernando Co."
"237438",NA,NA,NA,"NA NA",NA,NA,NA,"28.85","-82.2","Sumter Co."
"236974",NA,NA,NA,"NA NA",NA,NA,NA,"28.5833","-82.2167","Sumter Co."
"27387",NA,NA,NA,"NA NA",NA,NA,NA,"28.35","-81.8167","Sumter Co."
"105081",NA,NA,NA,"NA NA",NA,NA,NA,"28.5","-82.1","Hernando Co."
"299939",NA,NA,NA,"NA NA",NA,NA,NA,"28.465832","-82.172029","Pasco Co."
"299938",NA,NA,NA,"NA NA",NA,NA,NA,"28.465832","-82.172029","Pasco Co."
"299941",NA,NA,NA,"NA NA",NA,NA,NA,"28.465832","-82.172029","Pasco Co."
"299942",NA,NA,NA,"NA NA",NA,NA,NA,"28.465832","-82.172029","Pasco Co."
"43551",NA,NA,NA,"NA NA",NA,NA,NA,"30.2333","-84.6667","Sumter Co."
"104745",NA,NA,NA,"NA NA",NA,NA,NA,"28.587772","-82.227588","Hernando Co."
"48038",NA,NA,NA,"NA NA",NA,NA,NA,"null","null","Citrus Co."
"208166",NA,NA,NA,"NA NA",NA,NA,NA,"28.8667","-82.45","Citrus Co."
"160754",NA,NA,NA,"NA NA",NA,NA,NA,"28.55","-82.05","Sumter Co."
"161623",NA,NA,NA,"NA NA",NA,NA,NA,"28.554997","-82.054526","Sumter Co."
"204180",NA,NA,NA,"NA NA",NA,NA,NA,"28.5833","-82.2167","Sumter Co."
"48044",NA,NA,NA,"NA NA",NA,NA,NA,"28.688879","-82.272868","Citrus Co."
"48048",NA,NA,NA,"NA NA",NA,NA,NA,"28.688879","-82.272868","Citrus Co."
"225619",NA,NA,NA,"NA NA",NA,NA,NA,"28.35","-81.8167","Sumter Co."
"214280",NA,NA,NA,"NA NA",NA,NA,NA,"28.8667","-82.45","Citrus Co."
"306746",NA,NA,NA,"NA NA",NA,NA,NA,"28.668","-82.448","Hernando Co."
"161588",NA,NA,NA,"NA NA",NA,NA,NA,"28.554997","-82.054526","Sumter Co."
"48045",NA,NA,NA,"NA NA",NA,NA,NA,"28.6833","-82.2667","Citrus Co."
"108165",NA,NA,NA,"NA NA",NA,NA,NA,"28.5","-82.1","Hernando Co."
"138011",NA,NA,NA,"NA NA",NA,NA,NA,"28.5","-82.1","Hernando Co."
"108375",NA,NA,NA,"NA NA",NA,NA,NA,"28.5","-82.1","Hernando Co."
"104014",NA,NA,NA,"NA NA",NA,NA,NA,"28.35","-81.8167","Hernando Co."
"109211",NA,NA,NA,"NA NA",NA,NA,NA,"28.587772","-82.227588","Hernando Co."
"143536",NA,NA,NA,"NA NA",NA,NA,NA,"28.465832","-82.172029","Pasco Co."
"214271",NA,NA,NA,"NA NA",NA,NA,NA,"28.8667","-82.45","Citrus Co."
"53159",NA,NA,NA,"NA NA",NA,NA,NA,"28.6833","-82.2667","Citrus Co."
"100614",NA,NA,NA,"NA NA",NA,NA,NA,"28.6833","-82.2667","Citrus Co."
"204621",NA,NA,NA,"NA NA",NA,NA,NA,"28.6333","-82.25","Sumter Co."
"48039",NA,NA,NA,"NA NA",NA,NA,NA,"null","null","Citrus Co."
"55412",NA,NA,NA,"NA NA",NA,NA,NA,"null","null","Citrus Co."
"48049",NA,NA,NA,"NA NA",NA,NA,NA,"28.688879","-82.272868","Citrus Co."
"53158",NA,NA,NA,"NA NA",NA,NA,NA,"28.688879","-82.272868","Citrus Co."
"228883",NA,NA,NA,"NA NA",NA,NA,NA,"28.45833333","-82.03611111","Sumter Co."
"185064",NA,NA,NA,"NA NA",NA,NA,NA,"28.6833","-82.1833","Sumter Co."
"9560",NA,NA,NA,"NA NA",NA,NA,NA,"28.35","-81.8167","Citrus Co."
"161040",NA,NA,NA,"NA NA",NA,NA,NA,"28.55","-82.05","Sumter Co."
"55430",NA,NA,NA,"NA NA",NA,NA,NA,"28.688879","-82.272868","Citrus Co."
"104205",NA,NA,NA,"NA NA",NA,NA,NA,"28.587772","-82.227588","Hernando Co."
"105085",NA,NA,NA,"NA NA",NA,NA,NA,"28.35","-81.8167","Hernando Co."
"122549",NA,NA,NA,"NA NA",NA,NA,NA,"28.465832","-82.172029","Pasco Co."
"43138",NA,NA,NA,"NA NA",NA,NA,NA,"28.35","-81.8167","Hernando Co."
"108168",NA,NA,NA,"NA NA",NA,NA,NA,"28.5","-82.1","Hernando Co."
"185031",NA,NA,NA,"NA NA",NA,NA,NA,"28.6833","-82.1833","Sumter Co."
"27811",NA,NA,NA,"NA NA",NA,NA,NA,"28.35","-81.8167","Sumter Co."
"55234",NA,NA,NA,"NA NA",NA,NA,NA,"28.35","-81.8167","Citrus Co."
"227180",NA,NA,NA,"NA NA",NA,NA,NA,"28.865264","-82.038974","Sumter Co."
"227667",NA,NA,NA,"NA NA",NA,NA,NA,"28.80472222","-82.4025","Citrus Co."
"210255",NA,NA,NA,"NA NA",NA,NA,NA,"28.35","-81.8167","Hernando Co."
"210267",NA,NA,NA,"NA NA",NA,NA,NA,"28.8667","-82.45","Citrus Co."
"56011",NA,NA,NA,"NA NA",NA,NA,NA,"null","null","Sumter Co."
"245082",NA,NA,NA,"NA NA",NA,NA,NA,"28.664992","-82.112863","Sumter Co."
"120708",NA,NA,NA,"NA NA",NA,NA,NA,"28.465832","-82.172029","Pasco Co."
"208658",NA,NA,NA,"NA NA",NA,NA,NA,"28.9667","-82.4167","Citrus Co."
"206464",NA,NA,NA,"NA NA",NA,NA,NA,"28.5833","-82.2167","Sumter Co."
"104651",NA,NA,NA,"NA NA",NA,NA,NA,"28.35","-81.8167","Citrus Co."
"104750",NA,NA,NA,"NA NA",NA,NA,NA,"28.587772","-82.227588","Hernando Co."
"193037",NA,NA,NA,"NA NA",NA,NA,NA,"28.465832","-82.172029","Pasco Co."
"206458",NA,NA,NA,"NA NA",NA,NA,NA,"28.6333","-82.25","Sumter Co."
"208660",NA,NA,NA,"NA NA",NA,NA,NA,"28.9667","-82.4167","Citrus Co."
"210858",NA,NA,NA,"NA NA",NA,NA,NA,"28.835818","-82.330372","Citrus Co."
"183656",NA,NA,NA,"NA NA",NA,NA,NA,"30.2333","-84.6667","Sumter Co."
"185059",NA,NA,NA,"NA NA",NA,NA,NA,"28.6833","-82.1833","Sumter Co."
"10286",NA,NA,NA,"NA NA",NA,NA,NA,"28.35","-81.8167","Hernando Co."
"161587",NA,NA,NA,"NA NA",NA,NA,NA,"28.554997","-82.054526","Sumter Co."
"48086",NA,NA,NA,"NA NA",NA,NA,NA,"28.688879","-82.272868","Citrus Co."
"55410",NA,NA,NA,"NA NA",NA,NA,NA,"28.688879","-82.272868","Citrus Co."
"264144",NA,NA,NA,"NA NA",NA,NA,NA,"28.35","-81.8167","Hernando Co."
"27388",NA,NA,NA,"NA NA",NA,NA,NA,"28.35","-81.8167","Sumter Co."
"105093",NA,NA,NA,"NA NA",NA,NA,NA,"28.35","-81.8167","Hernando Co."
"108297",NA,NA,NA,"NA NA",NA,NA,NA,"28.5","-82.1","Hernando Co."
"27813",NA,NA,NA,"NA NA",NA,NA,NA,"28.35","-81.8167","Sumter Co."
"245081",NA,NA,NA,"NA NA",NA,NA,NA,"28.664992","-82.112863","Sumter Co."
"55472",NA,NA,NA,"NA NA",NA,NA,NA,"28.688879","-82.272868","Citrus Co."
"104634",NA,NA,NA,"NA NA",NA,NA,NA,"28.35","-81.8167","Citrus Co."
"104743",NA,NA,NA,"NA NA",NA,NA,NA,"28.587772","-82.227588","Hernando Co."
"105089",NA,NA,NA,"NA NA",NA,NA,NA,"28.35","-81.8167","Hernando Co."
"154600",NA,NA,NA,"NA NA",NA,NA,NA,"28.35","-81.8167","Sumter Co."
"27396",NA,NA,NA,"NA NA",NA,NA,NA,"28.35","-81.8167","Sumter Co."
"27399",NA,NA,NA,"NA NA",NA,NA,NA,"28.35","-81.8167","Sumter Co."
"104831",NA,NA,NA,"NA NA",NA,NA,NA,"28.35","-81.8167","Sumter Co."
"227766",NA,NA,NA,"NA NA",NA,NA,NA,"28.45833333","-82.03611111","Sumter Co."
"48119",NA,NA,NA,"NA NA",NA,NA,NA,"28.688879","-82.272868","Citrus Co."
"55388",NA,NA,NA,"NA NA",NA,NA,NA,"28.688879","-82.272868","Citrus Co."
"104722",NA,NA,NA,"NA NA",NA,NA,NA,"28.587772","-82.227588","Hernando Co."
"104639",NA,NA,NA,"NA NA",NA,NA,NA,"28.35","-81.8167","Citrus Co."
"55971",NA,NA,NA,"NA NA",NA,NA,NA,"28.35","-81.8167","Sumter Co."
"232028",NA,NA,NA,"NA NA",NA,NA,NA,"28.7167","-82.3","Citrus Co."
"2502",NA,NA,NA,"NA NA",NA,NA,NA,"28.664992","-82.112863","Sumter Co."
"120368",NA,NA,NA,"NA NA",NA,NA,NA,"28.465832","-82.172029","Pasco Co."
"227792",NA,NA,NA,"NA NA",NA,NA,NA,"28.45833333","-82.03611111","Sumter Co."
"27826",NA,NA,NA,"NA NA",NA,NA,NA,"28.35","-81.8167","Sumter Co."
"104844",NA,NA,NA,"NA NA",NA,NA,NA,"28.35","-81.8167","Sumter Co."
"185054",NA,NA,NA,"NA NA",NA,NA,NA,"28.6833","-82.1833","Sumter Co."
"27814",NA,NA,NA,"NA NA",NA,NA,NA,"28.35","-81.8167","Sumter Co."
"27828",NA,NA,NA,"NA NA",NA,NA,NA,"28.35","-81.8167","Sumter Co."
"239017",NA,NA,NA,"NA NA",NA,NA,NA,"28.45833333","-82.03611111","Sumter Co."
"43550",NA,NA,NA,"NA NA",NA,NA,NA,"30.2333","-84.6667","Sumter Co."
"203722",NA,NA,NA,"NA NA",NA,NA,NA,"28.5833","-82.2167","Sumter Co."
"27738",NA,NA,NA,"NA NA",NA,NA,NA,"28.35","-81.8167","Sumter Co."
"27389",NA,NA,NA,"NA NA",NA,NA,NA,"28.35","-81.8167","Sumter Co."
"104201",NA,NA,NA,"NA NA",NA,NA,NA,"28.35","-81.8167","Hernando Co."
"203799",NA,NA,NA,"NA NA",NA,NA,NA,"28.555272","-82.387871","Hernando Co."
"202269",NA,NA,NA,"NA NA",NA,NA,NA,"28.555272","-82.387871","Hernando Co."
"161061",NA,NA,NA,"NA NA",NA,NA,NA,"28.55","-82.05","Sumter Co."
"305901",NA,NA,NA,"NA NA",NA,NA,NA,"null","null","Pasco Co."
"9461",NA,NA,NA,"NA NA",NA,NA,NA,"30.2333","-84.6667","Citrus Co."
"179885",NA,NA,NA,"NA NA",NA,NA,NA,"28.35","-81.8167","Citrus Co."
"57317",NA,NA,NA,"NA NA",NA,NA,NA,"28.35","-81.8167","Citrus Co."
"161625",NA,NA,NA,"NA NA",NA,NA,NA,"28.554997","-82.054526","Sumter Co."
"161047",NA,NA,NA,"NA NA",NA,NA,NA,"28.55","-82.05","Sumter Co."
"122542",NA,NA,NA,"NA NA",NA,NA,NA,"28.35","-81.8167","Sumter Co."
"161042",NA,NA,NA,"NA NA",NA,NA,NA,"28.55","-82.05","Sumter Co."
"104199",NA,NA,NA,"NA NA",NA,NA,NA,"28.587772","-82.227588","Hernando Co."
"120548",NA,NA,NA,"NA NA",NA,NA,NA,"28.35","-81.8167","Sumter Co."
"283781",NA,NA,NA,"NA NA",NA,NA,NA,"28.64305556","-82.33361111","Hernando Co."
"283782",NA,NA,NA,"NA NA",NA,NA,NA,"28.64305556","-82.33361111","Hernando Co."
"27379",NA,NA,NA,"NA NA",NA,NA,NA,"28.35","-81.8167","Sumter Co."
"227204",NA,NA,NA,"NA NA",NA,NA,NA,"28.5333","-82.45","Hernando Co."
"120845",NA,NA,NA,"NA NA",NA,NA,NA,"28.35","-81.8167","Sumter Co."
"227950",NA,NA,NA,"NA NA",NA,NA,NA,"28.45833333","-82.03611111","Sumter Co."
"122482",NA,NA,NA,"NA NA",NA,NA,NA,"28.465832","-82.172029","Pasco Co."
"104806",NA,NA,NA,"NA NA",NA,NA,NA,"28.5","-82.1","Hernando Co."
"222864",NA,NA,NA,"NA NA",NA,NA,NA,"28.45305556","-82.14583333","Pasco Co."
"210988",NA,NA,NA,"NA NA",NA,NA,NA,"28.53416667","-82.14555556","Hernando Co."
"104680",NA,NA,NA,"NA NA",NA,NA,NA,"28.35","-81.8167","Citrus Co."
"105166",NA,NA,NA,"NA NA",NA,NA,NA,"28.35","-81.8167","Citrus Co."
"55969",NA,NA,NA,"NA NA",NA,NA,NA,"28.35","-81.8167","Sumter Co."
"104203",NA,NA,NA,"NA NA",NA,NA,NA,"28.587772","-82.227588","Hernando Co."
